,CAD_INCIDENT_ID,INITIAL_CALL_TYPE,INITIAL_SEVERITY_LEVEL_CODE,INCIDENT_RESPONSE_SECONDS_QY,TIME
0,130010749,INJURY,5,"6,154",201301
1,130011513,SICK,6,189,201301
2,130012312,MVAINJ,4,555,201301
3,130013072,UNC,2,504,201301
4,130013818,EDP,7,639,201301
5,130014571,DRUG,4,206,201301
6,130015343,EDP,7,370,201301
7,130020743,INJURY,4,555,201301
8,130021487,ABDPN,5,747,201301
9,130022252,INJURY,5,"1,372",201301
10,130023008,EDP,7,781,201301
11,130023768,UNC,2,441,201301
12,130030469,INJURY,5,754,201301
13,130031222,DIFFBR,2,"1,475",201301
14,130031964,DIFFBR,2,402,201301
15,130032732,SICK,6,"1,168",201301
16,130033472,MVAINJ,4,718,201301
17,130034237,DIFFBR,2,358,201301
18,130040687,UNC,2,429,201301
19,130041430,SEIZR,3,238,201301
20,130042193,MCI21P,2,154,201301
21,130042948,ARREST,1,292,201301
22,130043718,DIFFBR,2,519,201301
23,130050223,CVA,4,560,201301
24,130050978,SEIZR,3,387,201301
25,130051725,INJURY,5,263,201301
26,130052502,INJURY,5,469,201301
27,130053246,DIFFBR,2,314,201301
28,130060304,INJURY,5,584,201301
29,130061079,DIFFBR,2,561,201301
30,130061823,SICK,6,365,201301
31,130062593,EDP,7,492,201301
32,130063353,UNKNOW,4,302,201301
33,130070356,SICK,6,516,201301
34,130071123,EDP,7,338,201301
35,130071885,SICK,6,926,201301
36,130072683,OTHER,6,,201301
37,130073426,SICK,6,"2,910",201301
38,130074194,RESPIR,4,601,201301
39,130080578,RESPIR,4,339,201301
40,130081330,INJURY,5,795,201301
41,130082086,EDP,4,"2,273",201301
42,130082856,SICK,6,377,201301
43,130083606,SICK,4,222,201301
44,130084385,SICPED,4,431,201301
45,130090764,EDP,7,161,201301
46,130091525,INJURY,4,164,201301
47,130092313,SEIZR,3,315,201301
48,130093076,INJURY,5,330,201301
49,130093843,SEIZR,3,491,201301
50,130100429,INJURY,5,"1,421",201301
51,130101187,EDP,7,479,201301
52,130101928,SICK,6,"1,101",201301
53,130102702,CARD,3,510,201301
54,130103456,SICK,6,"2,357",201301
55,130104218,SICK,6,610,201301
56,130110591,SICK,6,596,201301
57,130111339,DIFFBR,2,144,201301
58,130112101,INJURY,5,678,201301
59,130112855,DIFFBR,2,191,201301
60,130113623,OTHER,6,205,201301
61,130114387,EDP,7,"2,574",201301
62,130120703,MVAINJ,4,468,201301
63,130121457,SICK,6,472,201301
64,130122238,DIFFBR,2,320,201301
65,130122982,ABDPN,5,646,201301
66,130123741,INBLED,3,325,201301
67,130130550,UNC,2,,201301
68,130131331,SICPED,4,563,201301
69,130132091,ALTMEN,3,358,201301
70,130132845,SICPED,4,698,201301
71,130133595,RESPIR,4,316,201301
72,130140487,CARD,3,547,201301
73,130141239,DRUG,4,554,201301
74,130141975,INJURY,5,503,201301
75,130142744,ABDPN,5,676,201301
76,130143501,MVAINJ,4,,201301
77,130150007,DIFFBR,2,535,201301
78,130150782,ASTHMB,2,835,201301
79,130151522,EDP,7,779,201301
80,130152280,ASTHMB,2,352,201301
81,130153046,OBLAB,5,"1,107",201301
82,130153820,UNC,2,273,201301
