,CAD_INCIDENT_ID,INITIAL_CALL_TYPE,INITIAL_SEVERITY_LEVEL_CODE,INCIDENT_RESPONSE_SECONDS_QY,TIME
0,130010749,INJURY,5,"6,154",201301
1,130011513,SICK,6,189,201301
2,130012312,MVAINJ,4,555,201301
3,130013072,UNC,2,504,201301
4,130013818,EDP,7,639,201301
5,130014571,DRUG,4,206,201301
6,130015343,EDP,7,370,201301
7,130020743,INJURY,4,555,201302
8,130021487,ABDPN,5,747,201302
9,130022252,INJURY,5,"1,372",201302
10,130023008,EDP,7,781,201302
11,130023768,UNC,2,441,201302
12,130030469,INJURY,5,754,201303
13,130031222,DIFFBR,2,"1,475",201303
14,130031964,DIFFBR,2,402,201303
15,130032732,SICK,6,"1,168",201303
16,130033472,MVAINJ,4,718,201303
17,130034237,DIFFBR,2,358,201303
18,130040687,UNC,2,429,201304
19,130041430,SEIZR,3,238,201304
20,130042193,MCI21P,2,154,201304
21,130042948,ARREST,1,292,201304
22,130043718,DIFFBR,2,519,201304
23,130050223,CVA,4,560,201305
24,130050978,SEIZR,3,387,201305
25,130051725,INJURY,5,263,201305
26,130052502,INJURY,5,469,201305
27,130053246,DIFFBR,2,314,201305
28,130060304,INJURY,5,584,201306
29,130061079,DIFFBR,2,561,201306
30,130061823,SICK,6,365,201306
31,130062593,EDP,7,492,201306
32,130063353,UNKNOW,4,302,201306
33,130070356,SICK,6,516,201307
34,130071123,EDP,7,338,201307
35,130071885,SICK,6,926,201307
36,130072683,OTHER,6,,201307
37,130073426,SICK,6,"2,910",201307
38,130074194,RESPIR,4,601,201307
39,130080578,RESPIR,4,339,201308
40,130081330,INJURY,5,795,201308
41,130082086,EDP,4,"2,273",201308
42,130082856,SICK,6,377,201308
43,130083606,SICK,4,222,201308
44,130084385,SICPED,4,431,201308
45,130090764,EDP,7,161,201309
46,130091525,INJURY,4,164,201309
47,130092313,SEIZR,3,315,201309
48,130093076,INJURY,5,330,201309
49,130093843,SEIZR,3,491,201309
50,130100429,INJURY,5,"1,421",201310
51,130101187,EDP,7,479,201310
52,130101928,SICK,6,"1,101",201310
53,130102702,CARD,3,510,201310
54,130103456,SICK,6,"2,357",201310
55,130104218,SICK,6,610,201310
56,130110591,SICK,6,596,201311
57,130111339,DIFFBR,2,144,201311
58,130112101,INJURY,5,678,201311
59,130112855,DIFFBR,2,191,201311
60,130113623,OTHER,6,205,201311
61,130114387,EDP,7,"2,574",201311
62,130120703,MVAINJ,4,468,201312
63,130121457,SICK,6,472,201312
64,130122238,DIFFBR,2,320,201312
65,130122982,ABDPN,5,646,201312
66,130123741,INBLED,3,325,201312
67,130130550,UNC,2,,201313
68,130131331,SICPED,4,563,201313
69,130132091,ALTMEN,3,358,201313
70,130132845,SICPED,4,698,201313
71,130133595,RESPIR,4,316,201313
72,130140487,CARD,3,547,201314
73,130141239,DRUG,4,554,201314
74,130141975,INJURY,5,503,201314
75,130142744,ABDPN,5,676,201314
76,130143501,MVAINJ,4,,201314
77,130150007,DIFFBR,2,535,201315
78,130150782,ASTHMB,2,835,201315
79,130151522,EDP,7,779,201315
80,130152280,ASTHMB,2,352,201315
81,130153046,OBLAB,5,"1,107",201315
82,130153820,UNC,2,273,201315
